SITE CODE= 9D2è„ìVëêésëÂñÓñÏí¨          ,32.8632,130.8990, 10,5.9,42476.0735532,  9.43, 16.03
 LAT.=   32.5874
 LON.=  130.4304
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 01 45 50
 NS,EW,UD
-0.068,0.131,-0.159
-0.031,0.131,-0.053
-0.002,0.081,0.074
-0.002,-0.008,0.116
-0.022,-0.107,0.051
-0.039,-0.178,-0.032
-0.037,-0.198,-0.037
-0.016,-0.164,0.051
0.020,-0.099,0.143
0.070,-0.031,0.139
0.122,0.014,0.024
0.151,0.034,-0.126
0.132,0.041,-0.212
0.071,0.051,-0.199
0.005,0.058,-0.132
-0.021,0.040,-0.087
0.003,-0.017,-0.091
0.055,-0.094,-0.104
0.097,-0.143,-0.059
0.099,-0.122,0.049
0.066,-0.026,0.148
0.018,0.107,0.149
-0.021,0.232,0.046
-0.041,0.314,-0.066
-0.043,0.344,-0.090
-0.047,0.325,-0.025
-0.072,0.258,0.030
-0.122,0.156,0.002
-0.178,0.048,-0.073
-0.205,-0.029,-0.097
-0.182,-0.048,-0.032
-0.114,-0.011,0.045
-0.034,0.058,0.039
0.021,0.127,-0.050
0.025,0.172,-0.129
-0.015,0.184,-0.122
-0.075,0.161,-0.052
-0.118,0.105,0.003
-0.116,0.019,0.018
-0.071,-0.079,0.034
-0.012,-0.166,0.082
0.029,-0.209,0.133
0.048,-0.188,0.124
0.065,-0.109,0.056
0.112,-0.009,0.001
0.187,0.060,0.019
0.249,0.060,0.083
0.247,-0.014,0.098
0.169,-0.129,0.008
0.055,-0.233,-0.135
-0.025,-0.282,-0.212
-0.032,-0.270,-0.144
0.025,-0.224,0.027
0.102,-0.182,0.173
0.154,-0.166,0.183
0.162,-0.162,0.062
0.124,-0.136,-0.070
0.053,-0.069,-0.103
-0.033,0.016,-0.032
-0.113,0.073,0.034
-0.164,0.062,0.004
-0.175,-0.008,-0.095
-0.159,-0.084,-0.147
-0.141,-0.110,-0.083
-0.128,-0.059,0.039
-0.118,0.047,0.106
-0.094,0.162,0.068
-0.061,0.239,-0.014
-0.036,0.258,-0.056
-0.037,0.225,-0.037
-0.061,0.168,0.002
-0.081,0.112,0.023
-0.072,0.068,0.011
-0.037,0.029,-0.029
0.001,-0.010,-0.076
0.018,-0.046,-0.095
0.017,-0.059,-0.054
0.022,-0.040,0.027
0.051,0.000,0.082
0.096,0.033,0.070
0.126,0.043,0.025
0.120,0.027,0.020
0.086,-0.001,0.066
0.045,-0.037,0.094
0.014,-0.072,0.043
-0.010,-0.096,-0.050
-0.039,-0.096,-0.095
-0.073,-0.074,-0.054
-0.096,-0.049,0.016
-0.095,-0.045,0.045
-0.064,-0.066,0.030
-0.013,-0.092,0.020
0.042,-0.103,0.030
0.084,-0.096,0.027
0.094,-0.088,-0.014
0.067,-0.094,-0.066
0.016,-0.113,-0.075
-0.031,-0.137,-0.036
-0.047,-0.148,0.008
-0.026,-0.133,0.026
0.016,-0.089,0.037
0.052,-0.022,0.074
0.064,0.045,0.118
0.054,0.094,0.111
0.033,0.117,0.030
0.015,0.127,-0.075
0.004,0.139,-0.119
0.001,0.146,-0.076
0.001,0.127,0.001
-0.003,0.069,0.041
-0.020,-0.008,0.024
-0.043,-0.058,-0.012
-0.050,-0.038,-0.029
-0.020,0.054,-0.030
0.050,0.182,-0.040
0.129,0.287,-0.068
0.171,0.323,-0.100
0.144,0.283,-0.114
0.060,0.194,-0.104
-0.039,0.106,-0.075
-0.116,0.052,-0.030
-0.151,0.035,0.021
-0.152,0.030,0.058
-0.135,0.014,0.059
-0.113,-0.016,0.030
-0.093,-0.041,0.008
-0.074,-0.035,0.023
-0.054,0.000,0.067
-0.034,0.036,0.093
-0.016,0.037,0.060
-0.012,-0.013,-0.018
-0.024,-0.103,-0.090
-0.044,-0.203,-0.111
-0.054,-0.277,-0.086
-0.037,-0.299,-0.056
0.001,-0.264,-0.047
0.039,-0.189,-0.032
0.061,-0.101,0.026
0.064,-0.028,0.120
0.065,0.012,0.175
0.082,0.017,0.124
0.119,-0.005,-0.021
0.160,-0.044,-0.170
0.187,-0.082,-0.232
0.186,-0.103,-0.188
0.157,-0.094,-0.083
0.115,-0.052,0.034
0.084,0.015,0.133
0.082,0.097,0.183
0.107,0.176,0.147
0.138,0.229,0.033
0.144,0.243,-0.076
0.111,0.213,-0.085
0.048,0.156,0.012
-0.012,0.094,0.100
-0.048,0.045,0.068
-0.050,0.020,-0.064
-0.030,0.020,-0.159
-0.006,0.039,-0.116
0.004,0.065,0.016
-0.005,0.084,0.105
-0.033,0.085,0.089
-0.064,0.073,0.039
-0.082,0.055,0.046
-0.081,0.032,0.097
-0.063,0.000,0.094
-0.043,-0.046,-0.004
-0.033,-0.106,-0.121
-0.032,-0.166,-0.147
-0.037,-0.216,-0.076
-0.043,-0.246,-0.002
-0.052,-0.255,-0.003
-0.063,-0.243,-0.048
-0.068,-0.218,-0.054
-0.050,-0.189,-0.006
-0.004,-0.166,0.026
0.051,-0.149,-0.000
0.087,-0.134,-0.044
0.088,-0.123,-0.025
0.070,-0.121,0.057
0.065,-0.121,0.111
0.096,-0.110,0.068
0.146,-0.074,-0.021
0.183,-0.020,-0.051
0.184,0.030,0.012
