SITE CODE= EA0ïƒéqésîéòJí¨ÅiãåÅj        ,35.2733,133.3483,  9,7.3,36805.5627072,  3.62,  6.15
 LAT.=    0.0000
 LON.=    0.0000
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2000 10 06 13 30 10
 NS,EW,UD
-0.009,-0.019,0.011
-0.006,0.007,0.006
0.007,0.011,-0.008
0.015,0.005,-0.015
0.014,0.011,-0.011
0.013,0.005,0.002
-0.007,-0.016,0.011
-0.028,-0.028,0.023
-0.025,-0.019,0.021
-0.014,-0.016,-0.007
0.002,-0.006,-0.025
0.024,0.013,-0.031
0.027,0.011,-0.009
0.001,0.007,0.013
0.002,0.010,0.005
0.011,0.003,0.013
-0.022,-0.009,0.017
-0.034,-0.015,0.011
-0.010,-0.016,0.011
-0.004,-0.005,0.007
-0.009,0.020,-0.003
-0.004,0.046,-0.011
-0.004,0.048,-0.002
-0.006,0.009,0.011
0.001,-0.029,0.004
0.006,-0.030,-0.009
0.011,-0.019,-0.013
0.013,-0.002,-0.007
-0.002,0.013,-0.002
-0.013,0.013,0.000
0.005,0.000,0.007
0.027,-0.006,0.003
0.030,0.001,-0.007
0.020,0.001,-0.007
0.017,-0.013,-0.009
0.015,-0.016,-0.005
-0.013,0.006,0.000
-0.028,0.018,0.016
-0.018,0.013,0.034
0.011,0.006,0.016
0.044,-0.005,-0.011
0.028,-0.009,-0.019
-0.010,-0.006,-0.009
-0.022,-0.007,0.010
-0.023,-0.010,0.020
-0.032,-0.010,0.009
-0.043,0.011,-0.004
-0.012,0.021,-0.004
0.050,0.006,-0.002
0.049,0.013,0.001
0.002,0.021,0.001
-0.006,0.001,-0.011
0.002,-0.023,-0.013
-0.017,-0.029,-0.007
-0.036,-0.007,-0.004
-0.035,0.013,0.006
-0.010,0.014,0.005
0.020,0.015,-0.002
0.030,0.021,-0.005
0.021,0.013,-0.011
0.016,-0.004,-0.009
0.025,-0.006,0.000
0.018,0.002,0.003
-0.023,0.003,0.003
-0.054,-0.001,0.005
-0.039,-0.009,0.003
0.004,-0.012,-0.004
0.031,0.005,-0.004
0.025,0.018,0.003
-0.005,0.009,0.013
-0.013,0.000,0.013
0.004,-0.001,-0.003
0.016,0.003,-0.007
0.014,-0.002,0.004
0.002,-0.024,0.011
-0.007,-0.031,0.014
-0.020,-0.011,0.007
-0.015,0.009,-0.008
0.006,0.013,-0.002
0.009,0.012,0.012
0.001,0.013,0.012
-0.008,0.001,0.016
-0.003,-0.002,0.010
0.000,0.005,-0.010
0.012,0.001,-0.008
0.027,0.000,-0.007
0.004,0.009,-0.012
-0.011,0.002,-0.005
-0.001,-0.009,-0.002
-0.002,-0.008,0.015
-0.047,-0.005,0.007
-0.049,-0.001,-0.031
0.048,-0.010,-0.018
0.061,0.005,0.007
-0.025,0.032,0.005
-0.041,0.009,-0.009
0.015,-0.012,-0.024
